Datetime,p47b8k2,p49b8k4,p51b8k6,p53b8k8,p55b8k10,p57b8k12,obs
2015-02-09,6.2396903,4.9885969161987305,14.38100528717041,9.927523612976074,8.111590385437012,10.196818351745605,-7.186
2015-02-10,8.115852,4.402089595794678,13.754901885986328,9.66514778137207,7.099393844604492,11.50485897064209,-7.4940004
2015-02-11,4.859836,4.721645355224609,8.201242446899414,6.151281833648682,6.927717208862305,10.158483505249023,-7.802
2015-02-12,5.288735,2.0881383419036865,6.015203475952148,2.722020149230957,4.231991767883301,5.170938968658447,-8.110001
2015-02-13,3.1921582,-1.0768558979034424,3.894430160522461,2.9553089141845703,4.8249382972717285,3.4879229068756104,-8.418
2015-02-14,3.9577045,0.6812407970428467,4.415187835693359,4.553547382354736,5.02650260925293,5.269974231719971,-8.726
2015-02-15,0.015279829,-1.347269058227539,-1.3112521171569824,4.286235332489014,1.1136420965194702,2.1098058223724365,-9.034
2015-02-16,-0.7940354,-2.8974409103393555,-2.322174549102783,2.0781168937683105,-2.483126401901245,-0.2871078848838806,-9.342
2015-02-17,-3.5822606,-4.988035678863525,-2.2132740020751953,-3.423522472381592,-3.972820281982422,-2.3419690132141113,-9.65
2015-02-18,-2.4403284,-4.269595146179199,-2.9964537620544434,-4.453067779541016,-5.185208320617676,-2.8766651153564453,-8.2175
2015-02-19,-3.312008,-3.5726571083068848,-3.05076265335083,-4.703976631164551,-4.523223876953125,-8.209507942199707,-6.785001
2015-02-20,-0.35787815,-3.6277523040771484,-3.914196491241455,-3.3514223098754883,-5.822893142700195,-5.8102521896362305,-5.3525004
2015-02-21,-2.0650408,-3.768690586090088,-1.1492931842803955,-5.043649673461914,-2.7168359756469727,-6.03606653213501,-3.92
2015-02-22,-1.8015101,-6.234548091888428,-2.804809093475342,-7.352165222167969,-5.407209396362305,-8.566943168640137,-2.4875
2015-02-23,-5.703704,-4.58953857421875,-1.545417308807373,-10.121697425842285,-6.906476020812988,-5.828347206115723,-1.0550001
2015-02-24,-3.848257,-4.1135478019714355,0.7006465196609497,-6.74705696105957,-5.471149921417236,-5.19824743270874,0.3775
2015-02-25,-2.2219718,-2.0200726985931396,-0.2741491198539734,-6.127060413360596,-3.242713451385498,-5.9801788330078125,1.81
2015-02-26,-1.3944466,-1.5291528701782227,0.7787295579910278,-5.5242743492126465,-2.9209933280944824,-5.3175272941589355,-3.75
2015-02-27,-2.3952432,-0.32563871145248413,2.4205994606018066,1.1294500827789307,1.7105602025985718,1.4290157556533813,-2.147143
2015-02-28,-0.67001957,-0.07542091608047485,2.596235990524292,3.9784741401672363,3.377812385559082,4.849980354309082,-0.54428583
2015-03-01,-2.005115,-1.4663927555084229,7.840102672576904,-1.8110966682434082,-2.2499096393585205,-1.1457633972167969,1.0585715
2015-03-02,-0.4799468,-0.14659780263900757,6.185122966766357,-2.4209516048431396,-2.8738036155700684,-0.45889812707901,2.6614285
2015-03-03,-0.055849493,2.388359308242798,4.232237815856934,1.9607263803482056,2.775935173034668,3.7901241779327393,4.2642856
2015-03-04,0.784488,2.7831828594207764,4.687392711639404,5.23745059967041,4.520155429840088,4.003819942474365,5.8671427
2015-03-05,0.3592642,1.4573867321014404,7.443970680236816,0.16711658239364624,3.8938088417053223,4.58368444442749,7.47
2015-03-06,2.382884,3.2339558601379395,8.31505298614502,0.4611740708351135,1.4332448244094849,1.8142625093460083,8.7
2015-03-07,4.6974115,5.379088401794434,8.065587043762207,3.555631637573242,1.3765662908554077,1.2022408246994019,7.3228574
2015-03-08,4.263738,7.719733715057373,8.556706428527832,3.8015687465667725,1.3472487926483154,3.7457337379455566,5.945714
2015-03-09,5.064131,7.339963912963867,9.54718017578125,-0.6502593159675598,4.8362274169921875,2.6289992332458496,4.5685716
2015-03-10,3.7002387,6.3489580154418945,7.747404098510742,-3.9703221321105957,3.680562734603882,0.8764213919639587,3.1914284
2015-03-11,4.721711,7.142167091369629,10.848947525024414,-3.6150870323181152,4.275052547454834,-1.1711111068725586,1.8142856
2015-03-12,6.2455425,9.920536041259766,10.95506763458252,1.809769630432129,5.661738872528076,1.8839267492294312,0.43714285
2015-03-13,7.1684546,10.581249237060547,12.480511665344238,1.5094473361968994,3.726776599884033,3.451528549194336,-0.94
2015-03-14,5.616285,9.943018913269043,11.933247566223145,2.224945306777954,2.2043192386627197,2.364208698272705,1.242
2015-03-15,5.591403,6.439647197723389,4.7513041496276855,2.318286657333374,0.7978811264038086,2.7827553749084473,3.424
2015-03-16,0.88777554,2.6149709224700928,4.094456195831299,4.844676494598389,1.249414086341858,4.597222805023193,5.606
