Datetime,p47b8k2,p49b8k4,p51b8k6,p53b8k8,p55b8k10,p57b8k12,obs
2014-02-09,198.257,197.7900390625,191.9237518310547,192.12974548339844,193.8077850341797,193.86460876464844,199.82845
2014-02-10,199.38486,197.40382385253906,192.1181640625,192.2753143310547,193.51759338378906,193.6589813232422,200.07118
2014-02-11,198.93933,196.86134338378906,192.59231567382812,192.56964111328125,194.01820373535156,194.472900390625,200.31393
2014-02-12,199.59064,197.32159423828125,192.99017333984375,193.54473876953125,194.38743591308594,194.5579833984375,200.55667
2014-02-13,199.63112,198.02061462402344,193.3737030029297,193.14576721191406,193.58006286621094,193.24476623535156,200.79942
2014-02-14,198.88504,199.57127380371094,193.5174560546875,192.0013885498047,192.82473754882812,192.4945526123047,201.04218
2014-02-15,198.7419,199.30287170410156,193.15811157226562,191.8321990966797,192.7412567138672,192.88169860839844,201.28491
2014-02-16,200.15256,198.6273651123047,193.16738891601562,191.5599365234375,191.91812133789062,191.56607055664062,201.52766
2014-02-17,199.49501,198.500244140625,193.9145965576172,192.33026123046875,192.8704376220703,192.6191864013672,201.7704
2014-02-18,199.61806,198.6600799560547,193.78990173339844,192.3065948486328,193.36468505859375,193.34144592285156,202.01315
2014-02-19,199.56564,198.60806274414062,192.3764190673828,190.99249267578125,192.2826385498047,193.09457397460938,202.25589
2014-02-20,200.38591,199.79693603515625,191.41400146484375,189.9380340576172,191.10145568847656,191.6844940185547,202.49864
2014-02-21,199.99713,201.14297485351562,190.68052673339844,189.8011016845703,190.85440063476562,191.62811279296875,202.7414
2014-02-22,200.91443,200.36195373535156,191.66180419921875,190.55355834960938,191.76112365722656,192.49253845214844,202.98413
2014-02-23,199.17056,199.21380615234375,192.47669982910156,190.9213104248047,191.947998046875,192.9095458984375,203.22688
2014-02-24,200.51906,199.4476318359375,193.4693145751953,192.64163208007812,193.8491973876953,194.94284057617188,203.46962
2014-02-25,199.14389,200.34326171875,193.56716918945312,192.54608154296875,194.25621032714844,194.9899444580078,203.71237
