Datetime,p47b8k2,p49b8k4,p51b8k6,p53b8k8,p55b8k10,p57b8k12,p59b8k14,p61b8k16,p63b8k18,p65b8k20,p67b8k22,p69b8k24,obs
2014-02-09,198.257,197.7900390625,194.4896240234375,197.08145141601562,193.23483276367188,193.86460876464844,193.32225036621094,195.7364044189453,195.84780883789062,193.55535888671875,198.48057556152344,193.35646057128906,199.82845
2014-02-10,199.38486,197.40382385253906,194.02606201171875,197.71527099609375,193.6193084716797,193.6589813232422,193.40121459960938,195.7577667236328,196.39834594726562,194.1757354736328,198.02578735351562,193.51210021972656,200.07118
2014-02-11,198.93933,196.86134338378906,195.59913635253906,198.25074768066406,194.84706115722656,194.472900390625,193.94737243652344,196.35992431640625,197.00523376464844,193.7718505859375,198.1822509765625,192.90660095214844,200.31393
2014-02-12,199.59064,197.32159423828125,195.73936462402344,199.29248046875,193.86553955078125,194.5579833984375,193.81326293945312,195.5328826904297,195.8854522705078,192.8435516357422,198.56930541992188,193.4112091064453,200.55667
2014-02-13,199.63112,198.02061462402344,196.70445251464844,195.399169921875,194.2445831298828,193.24476623535156,192.91079711914062,194.6731719970703,196.11062622070312,192.31072998046875,198.5548095703125,192.46163940429688,200.79942
2014-02-14,198.88504,199.57127380371094,197.5354461669922,196.58836364746094,196.85302734375,192.4945526123047,192.6892852783203,195.08482360839844,196.84002685546875,193.0997772216797,199.03024291992188,191.99343872070312,201.04218
2014-02-15,198.7419,199.30287170410156,197.7627716064453,198.17318725585938,196.9131622314453,192.88169860839844,193.4823455810547,196.98355102539062,197.5824737548828,194.5372314453125,198.66696166992188,193.83554077148438,201.28491
2014-02-16,200.15256,198.6273651123047,197.8882293701172,198.41868591308594,196.8776092529297,191.56607055664062,192.42501831054688,197.3924560546875,197.33938598632812,193.63844299316406,198.0896453857422,193.60231018066406,201.52766
2014-02-17,199.49501,198.500244140625,198.68875122070312,198.23326110839844,196.61065673828125,192.6191864013672,193.1558380126953,197.7642059326172,197.3601531982422,193.07948303222656,199.1351318359375,193.9717254638672,201.7704
2014-02-18,199.61806,198.6600799560547,197.9931182861328,198.77297973632812,197.78102111816406,193.34144592285156,193.99778747558594,197.860595703125,196.54283142089844,193.55615234375,199.6929168701172,194.3855743408203,202.01315
2014-02-19,199.56564,198.60806274414062,198.39303588867188,196.57223510742188,196.96014404296875,193.09457397460938,193.35968017578125,197.40689086914062,196.2552032470703,193.86495971679688,198.05731201171875,196.25025939941406,202.25589
2014-02-20,200.38591,199.79693603515625,196.75413513183594,197.72354125976562,197.9823760986328,191.6844940185547,192.17344665527344,196.8600616455078,196.57614135742188,193.94639587402344,198.01104736328125,194.72470092773438,202.49864
2014-02-21,199.99713,201.14297485351562,198.1548614501953,195.27597045898438,197.8123016357422,191.62811279296875,191.49606323242188,197.07150268554688,197.31976318359375,193.27757263183594,198.93394470214844,195.04066467285156,202.7414
2014-02-22,200.91443,200.36195373535156,199.0326385498047,198.17898559570312,198.54185485839844,192.49253845214844,192.1504364013672,197.29351806640625,196.88058471679688,192.03981018066406,198.92759704589844,195.42335510253906,202.98413
2014-02-23,199.17056,199.21380615234375,198.08949279785156,196.04530334472656,196.9754180908203,192.9095458984375,192.6768341064453,196.5232391357422,196.4735565185547,192.37672424316406,197.9600067138672,194.6666717529297,203.22688
