Datetime,p55b8k2,p65b8k4,p75b8k6,p85b8k8,p95b8k10,p105b8k12,obs
2014-02-09,204.90942,198.90541076660156,200.66026306152344,201.3848876953125,193.04652404785156,198.75985717773438,199.82845
2014-02-10,199.98988,198.34486389160156,201.08082580566406,201.92691040039062,199.14723205566406,197.676025390625,200.07118
2014-02-11,202.13304,198.866455078125,198.17588806152344,201.01171875,196.3439483642578,197.56277465820312,200.31393
2014-02-12,199.83748,200.1884765625,199.01759338378906,202.05540466308594,201.41603088378906,197.26158142089844,200.55667
2014-02-13,203.8854,200.25637817382812,200.10122680664062,202.08990478515625,198.8299102783203,200.32315063476562,200.79942
2014-02-14,201.38565,200.7360382080078,199.52719116210938,199.52955627441406,200.91192626953125,199.6551055908203,201.04218
2014-02-15,203.70499,201.11033630371094,199.72824096679688,199.0028533935547,195.78440856933594,198.5376434326172,201.28491
2014-02-16,202.09355,200.71119689941406,201.16209411621094,201.41696166992188,201.63523864746094,200.78175354003906,201.52766
2014-02-17,205.27486,202.2389373779297,201.5406494140625,203.3368682861328,199.764404296875,201.56837463378906,201.7704
2014-02-18,203.10202,202.09051513671875,202.64231872558594,202.78668212890625,201.6947784423828,203.9110870361328,202.01315
2014-02-19,205.26778,201.3562774658203,203.29714965820312,201.46182250976562,198.8624267578125,202.48548889160156,202.25589
2014-02-20,201.5406,202.34234619140625,201.50921630859375,201.17840576171875,201.12591552734375,202.5816192626953,202.49864
2014-02-21,205.02469,202.2518310546875,201.07830810546875,202.5779266357422,198.24354553222656,203.34938049316406,202.7414
2014-02-22,202.06546,202.3228302001953,202.8990020751953,204.2898406982422,202.34201049804688,203.89422607421875,202.98413
2014-02-23,203.83458,201.775634765625,202.79513549804688,203.09913635253906,202.1353759765625,201.47601318359375,203.22688
2014-02-24,200.35663,201.5048370361328,201.2119903564453,202.84947204589844,204.2756805419922,200.77528381347656,203.46962
2014-02-25,201.95341,200.72438049316406,200.7784423828125,202.7534637451172,200.24288940429688,201.76341247558594,203.71237
2014-02-26,200.25117,200.17282104492188,200.2353973388672,201.322509765625,199.79736328125,202.82186889648438,203.95511
2014-02-27,202.00731,199.1066436767578,200.40017700195312,201.9652099609375,199.2272491455078,199.3039093017578,204.19786
2014-02-28,200.67703,199.08917236328125,200.3464813232422,202.9082794189453,201.2845916748047,198.17828369140625,204.4406
2014-03-01,204.2637,201.5132293701172,200.2564697265625,202.6407012939453,199.7970428466797,201.35536193847656,204.68335
2014-03-02,202.45032,202.1768035888672,200.07029724121094,200.06761169433594,199.96231079101562,200.6828155517578,204.9261
2014-03-03,205.28435,201.4943084716797,199.5020751953125,200.4058074951172,199.1581573486328,198.3580322265625,205.16884
2014-03-04,203.50433,200.7967987060547,201.7666778564453,199.8883514404297,199.04734802246094,198.10690307617188,205.41159
2014-03-05,204.68823,200.06214904785156,201.7064208984375,200.63787841796875,196.37704467773438,198.41343688964844,205.65433
2014-03-06,201.03214,200.6185760498047,200.4579620361328,201.5252227783203,197.53456115722656,200.76153564453125,205.89708
2014-03-07,202.96158,200.46578979492188,200.4668426513672,202.78712463378906,198.25479125976562,200.55430603027344,206.13982
2014-03-08,200.74153,200.44029235839844,200.85052490234375,200.44900512695312,199.3875732421875,201.99913024902344,206.38257
2014-03-09,201.6898,200.3718719482422,199.96026611328125,199.8041229248047,195.9762420654297,200.09669494628906,206.6253
2014-03-10,199.89742,201.30184936523438,200.6702880859375,200.80950927734375,196.8680419921875,201.00482177734375,206.86806
2014-03-11,202.59221,200.80934143066406,198.9271240234375,201.28280639648438,197.43807983398438,199.09432983398438,207.1108
2014-03-12,201.242,201.37718200683594,199.41136169433594,199.4405059814453,196.53244018554688,199.12698364257812,207.35355
2014-03-13,203.16434,200.61032104492188,199.6413116455078,199.39743041992188,194.9378204345703,197.5328369140625,207.5963
2014-03-14,201.67036,200.4586639404297,198.77288818359375,197.48165893554688,195.8648681640625,198.01051330566406,207.83904
2014-03-15,201.52658,197.95065307617188,196.76560974121094,197.32992553710938,194.20980834960938,197.69459533691406,208.08179
2014-03-16,198.81427,197.81727600097656,196.6425323486328,198.86802673339844,194.217041015625,196.47967529296875,208.32452
2014-03-17,198.00655,198.0070037841797,198.564453125,201.32264709472656,195.05276489257812,197.00035095214844,208.56728
2014-03-18,197.96016,199.27867126464844,198.84420776367188,202.04830932617188,196.53330993652344,195.76148986816406,208.81001
2014-03-19,198.26782,200.475341796875,199.6086883544922,200.87139892578125,194.84788513183594,196.72283935546875,209.05276
2014-03-20,199.1597,199.5293426513672,197.91734313964844,199.73464965820312,195.2747039794922,197.38438415527344,209.29552
2014-03-21,199.0581,199.7439727783203,196.99783325195312,200.89019775390625,195.12368774414062,198.37515258789062,209.53825
2014-03-22,198.46202,198.30511474609375,196.03350830078125,200.43637084960938,195.3728790283203,197.52117919921875,209.781
2014-03-23,198.76294,196.5135040283203,195.81378173828125,198.28123474121094,193.96871948242188,196.40455627441406,209.00171
2014-03-24,197.82664,197.29217529296875,195.3306884765625,195.7632598876953,193.8506622314453,197.5984649658203,208.2224
2014-03-25,197.79276,198.5734100341797,196.4600372314453,196.4205780029297,190.81002807617188,194.95233154296875,207.4431
2014-03-26,196.70805,196.03224182128906,195.40904235839844,195.55657958984375,192.49673461914062,193.53704833984375,206.6638
2014-03-27,196.3538,193.86322021484375,194.6982421875,195.46835327148438,189.92599487304688,193.63760375976562,205.8845
2014-03-28,194.25711,193.44952392578125,194.01837158203125,195.98712158203125,192.97555541992188,194.510498046875,205.10521
2014-03-29,195.93005,195.25970458984375,191.34573364257812,198.7650909423828,192.42861938476562,192.18545532226562,204.32591
2014-03-30,195.29745,193.50076293945312,190.12149047851562,196.97381591796875,194.5917510986328,191.58799743652344,203.54662
2014-03-31,195.76239,195.97132873535156,191.86660766601562,193.88522338867188,190.7290802001953,192.33763122558594,203.53214
2014-04-01,194.62709,194.84107971191406,189.56997680664062,191.94439697265625,192.09153747558594,193.61517333984375,203.51765
2014-04-02,196.05638,195.98036193847656,191.5790252685547,190.8692169189453,187.01539611816406,192.84730529785156,203.50317
2014-04-03,195.37775,194.76425170898438,191.85308837890625,191.6997833251953,189.8960723876953,193.2078094482422,203.48871
2014-04-04,195.98723,196.3716583251953,194.1735076904297,193.55511474609375,187.99473571777344,192.03021240234375,203.47423
2014-04-05,195.50989,195.66799926757812,193.9097900390625,193.08433532714844,190.9889678955078,190.1327362060547,203.45975
