time,Hs,Y,Y_detrend
01-Jan-2000,1.56,NaN,NaN
02-Jan-2000,2.19,NaN,NaN
03-Jan-2000,2.04,NaN,NaN
04-Jan-2000,1.75,NaN,NaN
05-Jan-2000,0.92,NaN,NaN
06-Jan-2000,1.87,NaN,NaN
07-Jan-2000,1.56,NaN,NaN
08-Jan-2000,1.76,NaN,NaN
09-Jan-2000,1.88,NaN,NaN
10-Jan-2000,2.73,NaN,NaN
11-Jan-2000,2.46,NaN,NaN
12-Jan-2000,2.69,NaN,NaN
13-Jan-2000,2.71,NaN,NaN
14-Jan-2000,2.82,NaN,NaN
15-Jan-2000,2.47,NaN,NaN
16-Jan-2000,1.41,NaN,NaN
17-Jan-2000,2.91,NaN,NaN
18-Jan-2000,1.39,NaN,NaN
19-Jan-2000,2.2,NaN,NaN
20-Jan-2000,1.63,NaN,NaN
21-Jan-2000,0.91,NaN,NaN
22-Jan-2000,1.45,NaN,NaN
23-Jan-2000,1.01,NaN,NaN
24-Jan-2000,2.31,NaN,NaN
25-Jan-2000,2.11,NaN,NaN
26-Jan-2000,1.56,NaN,NaN
27-Jan-2000,1.64,NaN,NaN
28-Jan-2000,1.7,NaN,NaN
29-Jan-2000,1.68,NaN,NaN
30-Jan-2000,2.63,NaN,NaN
31-Jan-2000,2.41,NaN,NaN
01-Feb-2000,4.57,NaN,NaN
02-Feb-2000,2.42,NaN,NaN
03-Feb-2000,2.94,NaN,NaN
04-Feb-2000,2.77,NaN,NaN
05-Feb-2000,2.08,NaN,NaN
06-Feb-2000,2.72,NaN,NaN
07-Feb-2000,2.36,NaN,NaN
08-Feb-2000,1.82,NaN,NaN
09-Feb-2000,2.04,NaN,NaN
10-Feb-2000,2.46,NaN,NaN
11-Feb-2000,2.76,NaN,NaN
12-Feb-2000,2.56,NaN,NaN
13-Feb-2000,3.15,NaN,NaN
14-Feb-2000,2.77,NaN,NaN
15-Feb-2000,5.09,NaN,NaN
16-Feb-2000,3.18,NaN,NaN
17-Feb-2000,2.55,NaN,NaN
18-Feb-2000,2.38,NaN,NaN
19-Feb-2000,1.36,NaN,NaN
20-Feb-2000,1.37,NaN,NaN
21-Feb-2000,2.93,NaN,NaN
22-Feb-2000,4.24,NaN,NaN
23-Feb-2000,4.41,NaN,NaN
24-Feb-2000,3.23,NaN,NaN
25-Feb-2000,2.5,NaN,NaN
26-Feb-2000,2.11,NaN,NaN
27-Feb-2000,2.92,NaN,NaN
28-Feb-2000,5.21,NaN,NaN
29-Feb-2000,3.28,NaN,NaN
01-Mar-2000,3.27,NaN,NaN
02-Mar-2000,2.41,NaN,NaN
03-Mar-2000,2.72,NaN,NaN
04-Mar-2000,4.3,-37.32,-22.15
05-Mar-2000,2.63,NaN,NaN
06-Mar-2000,4.52,NaN,NaN
07-Mar-2000,3.08,NaN,NaN
08-Mar-2000,2.55,NaN,NaN
09-Mar-2000,3.05,NaN,NaN
10-Mar-2000,3.3,NaN,NaN
11-Mar-2000,1.65,NaN,NaN
12-Mar-2000,3.51,NaN,NaN
13-Mar-2000,2.76,NaN,NaN
14-Mar-2000,1.67,NaN,NaN
15-Mar-2000,1.52,NaN,NaN
16-Mar-2000,2.42,NaN,NaN
17-Mar-2000,2.73,NaN,NaN
18-Mar-2000,3.57,NaN,NaN
19-Mar-2000,2.6,NaN,NaN
20-Mar-2000,4.08,NaN,NaN
21-Mar-2000,3.37,NaN,NaN
22-Mar-2000,2.37,NaN,NaN
23-Mar-2000,2.73,NaN,NaN
24-Mar-2000,2.94,NaN,NaN
25-Mar-2000,2.31,NaN,NaN
26-Mar-2000,2.06,NaN,NaN
27-Mar-2000,2.17,NaN,NaN
28-Mar-2000,2.54,NaN,NaN
29-Mar-2000,3.76,NaN,NaN
30-Mar-2000,2.82,NaN,NaN
31-Mar-2000,2.44,NaN,NaN
01-Apr-2000,1.51,NaN,NaN
02-Apr-2000,1.77,NaN,NaN
03-Apr-2000,1.16,NaN,NaN
04-Apr-2000,1.19,NaN,NaN
05-Apr-2000,1.38,NaN,NaN
06-Apr-2000,1.56,NaN,NaN
07-Apr-2000,1.85,NaN,NaN
08-Apr-2000,1.49,NaN,NaN
09-Apr-2000,1.64,NaN,NaN
10-Apr-2000,1.38,NaN,NaN
11-Apr-2000,1.42,NaN,NaN
12-Apr-2000,1.1,NaN,NaN
13-Apr-2000,1.27,NaN,NaN
14-Apr-2000,1.15,NaN,NaN
15-Apr-2000,1.38,NaN,NaN
16-Apr-2000,1.64,NaN,NaN
17-Apr-2000,3.8,NaN,NaN
18-Apr-2000,1.67,NaN,NaN
19-Apr-2000,1.69,NaN,NaN
20-Apr-2000,1.05,NaN,NaN
21-Apr-2000,1.44,13.99,29.69
22-Apr-2000,2.57,NaN,NaN
23-Apr-2000,2.1,NaN,NaN
24-Apr-2000,3.12,NaN,NaN
25-Apr-2000,3.17,NaN,NaN
26-Apr-2000,1.77,NaN,NaN
27-Apr-2000,2.15,NaN,NaN
28-Apr-2000,1.17,NaN,NaN
29-Apr-2000,3,-19.82,-4.03
30-Apr-2000,2.46,NaN,NaN
01-May-2000,1.2,NaN,NaN
02-May-2000,1.92,NaN,NaN
03-May-2000,1.78,NaN,NaN
04-May-2000,1.6,NaN,NaN
05-May-2000,2.69,NaN,NaN
06-May-2000,1.79,NaN,NaN
07-May-2000,1.45,NaN,NaN
08-May-2000,1.51,NaN,NaN
09-May-2000,1.29,NaN,NaN
10-May-2000,1.35,NaN,NaN
11-May-2000,2.31,NaN,NaN
12-May-2000,2.04,NaN,NaN
13-May-2000,1.46,NaN,NaN
14-May-2000,0.97,NaN,NaN
15-May-2000,2.5,NaN,NaN
16-May-2000,1.84,NaN,NaN
17-May-2000,2.11,NaN,NaN
18-May-2000,1.68,NaN,NaN
19-May-2000,1.71,NaN,NaN
20-May-2000,1.74,NaN,NaN
21-May-2000,1.77,NaN,NaN
22-May-2000,1.8,NaN,NaN
23-May-2000,1.86,NaN,NaN
24-May-2000,2.11,NaN,NaN
25-May-2000,2.13,NaN,NaN
26-May-2000,2.46,NaN,NaN
27-May-2000,0.85,NaN,NaN
28-May-2000,1.3,NaN,NaN
29-May-2000,2.19,NaN,NaN
30-May-2000,2.5,NaN,NaN
31-May-2000,3.35,NaN,NaN
01-Jun-2000,1.99,NaN,NaN
